,0,1,2
488,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
489,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
490,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
491,CD8 Naive,CD8+ Naive T,CD8 Naive
492,Dendritic cell,Dendritic Cells,cDC2
493,Dendritic cell,Dendritic Cells,cDC2
494,CD8 effector,CD8+ Effector Memory T,CD8 TEM
495,CD4 Naive,CD4+ Naive T,CD4 Naive
496,B cell progenitor,Dendritic Cells,B intermediate
497,CD4 Naive,CD4+ Naive T,CD4 Naive
498,CD4 Memory,CD4+ Central Memory T,CD4 TCM
499,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
500,CD8 effector,CD8+ Effector Memory T,CD8 TEM
501,CD4 Naive,CD4+ Naive T,CD4 Naive
502,B cell progenitor,Dendritic Cells,B intermediate
503,pre-B cell,Dendritic Cells,B naive
504,CD8 Naive,CD8+ Naive T,CD8 Naive
505,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
506,B cell progenitor,Dendritic Cells,B intermediate
507,B cell progenitor,Dendritic Cells,B intermediate
508,CD4 Memory,CD4+ Naive T,CD4 Naive
509,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
510,CD4 Memory,CD4+ Central Memory T,CD4 TCM
511,CD4 Memory,CD4+ Naive T,CD4 Naive
512,NK cell,NK cell,NK
513,CD16+ Monocytes,Dendritic Cells,CD16 Mono
514,CD4 Naive,CD4+ Naive T,CD4 Naive
515,CD4 Memory,CD4+ Central Memory T,CD4 TCM
516,CD4 Naive,CD4+ Naive T,CD4 Naive
517,B cell progenitor,Dendritic Cells,B intermediate
518,CD4 Naive,CD8+ Effector Memory T,CD8 TEM
519,CD8 effector,CD8+ Effector Memory T,CD8 TEM
520,CD8 Naive,CD8+ Naive T,CD8 Naive
521,CD8 Naive,CD8+ Naive T,CD8 Naive
522,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
523,CD16+ Monocytes,Dendritic Cells,CD16 Mono
524,pre-B cell,Dendritic Cells,B naive
525,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
526,CD8 Naive,CD8+ Naive T,CD8 Naive
527,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
528,CD4 Memory,CD4+ Central Memory T,CD4 TCM
529,CD8 effector,CD8+ Effector Memory T,CD8 TEM
530,Platelets,pDC,dnT
531,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
532,CD8 effector,CD8+ Effector Memory T,CD8 TEM
533,CD8 Naive,CD8+ Naive T,CD8 Naive
534,CD4 Naive,CD4+ Naive T,CD4 Naive
535,CD8 Naive,CD8+ Naive T,CD8 Naive
536,NK cell,NK cell,NK
537,CD8 effector,CD8+ Effector Memory T,CD8 TEM
538,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
539,CD4 Naive,CD4+ Naive T,CD4 Naive
540,CD4 Memory,CD4+ Central Memory T,CD4 TCM
541,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
542,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
543,CD4 Naive,CD4+ Naive T,CD4 Naive
544,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
545,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
546,CD4 Memory,CD4+ Naive T,CD4 Naive
547,CD4 Naive,CD4+ Naive T,CD4 Naive
548,pre-B cell,Dendritic Cells,B naive
549,CD4 Memory,CD4+ Naive T,CD4 Naive
550,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
551,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
552,pre-B cell,Dendritic Cells,B naive
553,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
554,CD4 Naive,CD4+ Naive T,CD4 Naive
555,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
556,CD8 Naive,CD8+ Naive T,CD8 Naive
557,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
558,CD4 Naive,CD4+ Naive T,CD4 Naive
559,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
560,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
561,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
562,CD16+ Monocytes,CD14+ Monocytes,CD14 Mono
563,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
564,CD4 Naive,CD8+ Naive T,CD8 Naive
565,CD16+ Monocytes,Dendritic Cells,CD16 Mono
566,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
567,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
568,CD4 Memory,CD4+ Central Memory T,CD4 TCM
569,CD4 Memory,CD4+ Central Memory T,CD4 TCM
570,B cell progenitor,Dendritic Cells,B intermediate
571,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
572,pre-B cell,Dendritic Cells,B naive
573,CD4 Memory,CD4+ Naive T,CD4 Naive
574,Dendritic cell,Dendritic Cells,cDC2
575,CD4 Naive,CD4+ Naive T,CD4 Naive
576,CD4 Memory,CD4+ Central Memory T,CD4 TCM
577,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
578,CD4 Naive,CD4+ Naive T,CD4 Naive
579,CD8 Naive,CD8+ Naive T,CD8 Naive
580,CD4 Memory,CD4+ Central Memory T,CD4 TCM
581,CD4 Naive,CD4+ Naive T,CD4 Naive
582,CD8 effector,CD8+ Effector Memory T,CD8 TEM
583,CD4 Memory,CD4+ Central Memory T,CD4 TCM
584,CD8 effector,CD8+ Effector Memory T,CD8 TEM
585,pDC,pDC,pDC
586,CD4 Memory,CD4+ Central Memory T,CD4 TCM
587,CD8 Naive,CD8+ Naive T,CD8 Naive
588,CD8 Naive,CD8+ Naive T,CD8 Naive
589,CD4 Naive,CD4+ Naive T,CD4 Naive
590,CD4 Naive,CD4+ Naive T,CD4 Naive
591,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
592,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
593,B cell progenitor,Dendritic Cells,B intermediate
594,NK cell,NK cell,NK
595,Double negative T cell,CD8+ Effector Memory T,CD8 TEM
596,CD4 Naive,CD4+ Naive T,CD4 Naive
597,CD4 Memory,CD4+ Central Memory T,CD4 TCM
598,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
599,pre-B cell,Dendritic Cells,B naive
600,CD8 Naive,CD8+ Naive T,CD8 Naive
601,CD4 Memory,CD4+ Naive T,CD4 Naive
602,CD4 Memory,CD4+ Central Memory T,CD4 TCM
603,CD8 Naive,CD8+ Naive T,CD8 Naive
604,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
605,CD16+ Monocytes,Dendritic Cells,CD16 Mono
606,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
607,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
608,CD8 Naive,CD8+ Naive T,CD8 Naive
609,CD4 Naive,CD4+ Naive T,CD4 Naive
610,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
611,CD8 effector,CD8+ Effector Memory T,CD8 TEM
612,CD4 Naive,CD4+ Naive T,CD4 Naive
613,CD4 Memory,CD4+ Central Memory T,CD4 TCM
614,CD4 Naive,CD4+ Naive T,CD4 Naive
615,B cell progenitor,Dendritic Cells,B intermediate
616,CD8 Naive,CD8+ Naive T,CD8 Naive
617,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
618,CD4 Naive,CD4+ Naive T,CD4 Naive
619,CD8 effector,CD8+ Effector Memory T,CD8 TEM
620,CD4 Memory,CD4+ Central Memory T,CD4 TCM
621,pre-B cell,Dendritic Cells,B naive
622,CD16+ Monocytes,Dendritic Cells,CD16 Mono
623,B cell progenitor,Dendritic Cells,B naive
624,CD4 Memory,CD4+ Central Memory T,CD4 TCM
625,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
626,CD16+ Monocytes,Dendritic Cells,CD16 Mono
627,CD4 Memory,CD4+ Central Memory T,CD4 TCM
628,CD4 Naive,CD4+ Naive T,CD4 Naive
629,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
630,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
631,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
632,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
633,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
634,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
635,CD8 effector,CD8+ Effector Memory T,CD8 TEM
636,B cell progenitor,Dendritic Cells,B intermediate
637,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
638,CD4 Memory,CD4+ Naive T,CD4 Naive
639,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
640,CD16+ Monocytes,Dendritic Cells,CD16 Mono
641,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
642,CD4 Naive,CD4+ Central Memory T,CD4 TCM
643,CD4 Naive,CD4+ Naive T,CD4 Naive
644,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
645,CD8 Naive,CD8+ Naive T,CD8 Naive
646,CD8 Naive,CD8+ Naive T,CD8 Naive
647,B cell progenitor,Dendritic Cells,B intermediate
648,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
649,CD8 Naive,CD8+ Naive T,CD8 Naive
650,NK cell,NK cell,NK
651,NK cell,NK cell,NK
652,pre-B cell,Dendritic Cells,B naive
653,CD4 Memory,CD4+ Central Memory T,CD4 TCM
654,CD8 Naive,CD8+ Naive T,CD8 Naive
655,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
656,CD4 Naive,CD4+ Naive T,CD4 Naive
657,CD4 Naive,CD14+ Monocytes,CD14 Mono
658,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
659,CD4 Memory,CD8+ Effector Memory T,CD8 TEM
660,CD8 effector,CD8+ Effector Memory T,CD8 TEM
661,CD8 Naive,CD8+ Naive T,CD8 Naive
662,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
663,CD4 Naive,CD4+ Naive T,CD4 Naive
664,B cell progenitor,Dendritic Cells,B intermediate
665,pre-B cell,Dendritic Cells,B naive
666,CD16+ Monocytes,Dendritic Cells,CD16 Mono
667,CD4 Memory,CD4+ Naive T,CD4 Naive
668,CD4 Memory,CD4+ Central Memory T,CD4 TCM
669,CD4 Memory,CD4+ Central Memory T,CD4 TCM
670,CD8 Naive,CD8+ Naive T,CD8 Naive
671,,CD14+ Monocytes,CD14 Mono
672,,CD14+ Monocytes,CD14 Mono
673,CD16+ Monocytes,Dendritic Cells,CD16 Mono
674,CD4 Naive,CD4+ Naive T,CD4 Naive
675,,CD14+ Monocytes,CD14 Mono
676,CD8 effector,CD8+ Effector Memory T,CD8 TEM
677,CD4 Naive,CD4+ Naive T,CD4 Naive
678,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
679,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
680,pre-B cell,Dendritic Cells,B naive
681,CD8 Naive,CD8+ Naive T,CD8 Naive
682,CD4 Memory,CD4+ Naive T,CD4 Naive
683,CD8 Naive,CD8+ Naive T,CD8 Naive
684,CD4 Naive,CD4+ Naive T,CD4 Naive
685,CD4 Memory,CD4+ Naive T,CD4 Naive
686,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
687,CD4 Memory,CD4+ Central Memory T,CD4 TCM
688,CD8 effector,CD8+ Effector Memory T,CD8 TEM
689,CD4 Memory,CD4+ Central Memory T,CD4 TCM
690,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
691,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
692,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
693,CD8 effector,CD8+ Effector Memory T,CD8 TEM
694,CD8 effector,CD8+ Effector Memory T,CD8 TEM
695,NK cell,NK cell,NK
696,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
697,CD8 Naive,CD8+ Naive T,CD8 Naive
698,CD4 Naive,CD4+ Naive T,CD4 Naive
699,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
700,CD4 Naive,CD4+ Naive T,CD4 Naive
701,CD8 Naive,CD8+ Naive T,CD8 Naive
702,CD16+ Monocytes,Dendritic Cells,CD16 Mono
703,CD8 Naive,CD8+ Naive T,CD8 Naive
704,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
705,CD8 effector,CD8+ Effector Memory T,CD8 TEM
706,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
707,CD4 Naive,CD4+ Naive T,CD4 Naive
708,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
709,CD8 effector,CD8+ Effector Memory T,CD8 TEM
710,CD8 Naive,CD8+ Naive T,CD8 Naive
711,CD4 Memory,CD4+ Central Memory T,CD4 TCM
712,pre-B cell,Dendritic Cells,B naive
713,CD8 Naive,CD8+ Naive T,CD8 Naive
714,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
715,NK cell,NK cell,NK
716,CD8 Naive,CD8+ Naive T,CD8 Naive
717,CD8 effector,CD8+ Effector Memory T,CD8 TEM
718,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
719,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
720,B cell progenitor,Dendritic Cells,B intermediate
721,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
722,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
723,CD4 Memory,CD4+ Naive T,CD4 Naive
724,CD4 Naive,CD4+ Naive T,CD4 Naive
725,CD8 Naive,CD8+ Naive T,CD8 Naive
726,CD16+ Monocytes,Dendritic Cells,CD16 Mono
727,CD4 Naive,Dendritic Cells,B intermediate
728,CD8 effector,CD8+ Effector Memory T,CD8 TEM
729,CD16+ Monocytes,Dendritic Cells,CD16 Mono
730,CD4 Memory,CD4+ Naive T,CD4 Naive
731,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
732,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
733,CD16+ Monocytes,Dendritic Cells,CD16 Mono
734,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
735,CD4 Naive,CD4+ Naive T,CD4 Naive
736,CD4 Naive,CD4+ Naive T,CD4 Naive
737,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
738,CD8 effector,CD8+ Effector Memory T,CD8 TEM
739,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
740,CD8 Naive,CD8+ Naive T,CD8 Naive
741,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
742,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
743,CD8 Naive,CD8+ Naive T,CD8 Naive
744,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
745,,CD14+ Monocytes,CD14 Mono
746,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
747,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
748,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
749,CD8 Naive,CD14+ Monocytes,CD14 Mono
750,CD8 Naive,CD8+ Naive T,CD8 Naive
751,pre-B cell,Dendritic Cells,B naive
752,CD4 Memory,CD4+ Central Memory T,CD4 TCM
753,CD4 Naive,CD4+ Naive T,CD4 Naive
754,CD4 Naive,CD4+ Naive T,CD4 Naive
755,NK cell,NK cell,NK
756,NK cell,NK cell,NK
757,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
758,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
759,B cell progenitor,Dendritic Cells,B intermediate
760,CD8 Naive,CD8+ Naive T,CD8 Naive
761,Double negative T cell,CD8+ Effector Memory T,CD4 TEM
762,CD4 Memory,CD4+ Central Memory T,CD4 TCM
763,CD4 Naive,CD4+ Central Memory T,CD4 TCM
764,pDC,pDC,pDC
765,CD4 Memory,CD4+ Central Memory T,CD4 TCM
766,CD4 Memory,CD4+ Central Memory T,CD4 TCM
767,CD4 Naive,CD4+ Naive T,CD4 Naive
768,CD4 Naive,CD4+ Naive T,CD4 Naive
769,CD4 Memory,CD4+ Central Memory T,CD4 TCM
770,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
771,CD8 effector,CD8+ Effector Memory T,CD8 TEM
772,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
773,CD8 effector,CD8+ Effector Memory T,CD8 TEM
774,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
775,CD4 Memory,CD4+ Central Memory T,CD4 TCM
776,CD8 effector,CD8+ Effector Memory T,CD8 TEM
777,CD4 Naive,CD4+ Central Memory T,CD4 TCM
778,CD16+ Monocytes,Dendritic Cells,CD16 Mono
779,CD4 Memory,CD4+ Naive T,CD4 Naive
780,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
781,CD4 Memory,CD4+ Central Memory T,CD4 TCM
782,CD8 effector,CD8+ Effector Memory T,CD8 TEM
783,CD16+ Monocytes,Dendritic Cells,CD16 Mono
784,CD8 Naive,CD8+ Naive T,CD8 Naive
785,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
786,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
787,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
788,B cell progenitor,Dendritic Cells,B intermediate
789,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
790,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
791,CD4 Memory,CD4+ Central Memory T,CD4 TCM
792,CD4 Naive,CD4+ Naive T,CD4 Naive
793,CD8 Naive,CD8+ Naive T,CD8 Naive
794,CD8 Naive,CD8+ Naive T,CD8 Naive
795,CD4 Naive,CD4+ Naive T,CD4 Naive
796,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
797,CD8 Naive,CD8+ Effector Memory T,CD8 TEM
798,CD4 Naive,CD4+ Naive T,CD4 Naive
799,CD4 Naive,CD4+ Naive T,CD4 Naive
800,CD8 Naive,CD8+ Naive T,CD8 Naive
801,CD8 Naive,CD8+ Naive T,CD8 Naive
802,CD8 Naive,CD8+ Naive T,CD8 Naive
803,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
804,Dendritic cell,Dendritic Cells,cDC2
805,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
806,CD4 Memory,CD4+ Naive T,CD4 Naive
807,CD4 Naive,CD4+ Naive T,CD4 Naive
808,CD8 Naive,CD8+ Naive T,CD8 Naive
809,NK cell,NK cell,NK
810,CD4 Memory,CD4+ Central Memory T,CD4 TCM
811,CD8 Naive,CD8+ Naive T,CD8 Naive
812,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
813,CD16+ Monocytes,Dendritic Cells,CD16 Mono
814,CD8 Naive,CD8+ Naive T,CD8 Naive
815,CD4 Memory,CD4+ Central Memory T,CD4 TCM
816,CD4 Memory,CD4+ Naive T,CD4 Naive
817,CD8 Naive,CD8+ Naive T,CD8 Naive
818,CD8 Naive,CD8+ Naive T,CD8 Naive
819,B cell progenitor,Dendritic Cells,B intermediate
820,CD8 effector,CD8+ Effector Memory T,CD8 TEM
821,pre-B cell,Dendritic Cells,B naive
822,NK cell,NK cell,NK
823,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
824,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
825,CD16+ Monocytes,Dendritic Cells,CD16 Mono
826,CD4 Memory,CD4+ Naive T,CD4 Naive
827,CD4 Naive,CD4+ Naive T,CD4 Naive
828,CD8 Naive,CD8+ Naive T,CD8 Naive
829,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
830,CD4 Naive,CD4+ Naive T,CD4 Naive
831,CD8 effector,CD8+ Effector Memory T,CD8 TEM
832,CD4 Naive,CD4+ Naive T,CD4 Naive
833,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
834,CD4 Memory,CD4+ Central Memory T,CD4 TCM
835,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
836,CD4 Naive,CD4+ Naive T,CD4 Naive
837,B cell progenitor,Dendritic Cells,B intermediate
838,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
839,CD16+ Monocytes,Dendritic Cells,CD16 Mono
840,CD8 effector,CD8+ Effector Memory T,CD8 TEM
841,CD8 effector,CD8+ Effector Memory T,CD8 TEM
842,CD8 Naive,CD8+ Naive T,CD8 Naive
843,CD4 Memory,CD4+ Central Memory T,CD4 TCM
844,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
845,CD4 Memory,CD4+ Central Memory T,CD4 TCM
846,CD4 Naive,CD4+ Naive T,CD4 Naive
847,pre-B cell,Dendritic Cells,B naive
848,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
849,CD8 Naive,CD8+ Naive T,CD8 Naive
850,CD4 Naive,CD4+ Naive T,CD4 Naive
851,CD14+ Monocytes,Dendritic Cells,CD16 Mono
852,B cell progenitor,Dendritic Cells,B intermediate
853,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
854,,CD14+ Monocytes,CD14 Mono
855,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
856,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
857,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
858,CD8 Naive,CD8+ Naive T,CD8 Naive
859,CD8 Naive,CD8+ Naive T,CD8 Naive
860,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
861,CD4 Naive,CD4+ Naive T,CD4 Naive
862,CD8 Naive,CD8+ Naive T,CD8 Naive
863,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
864,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
865,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
866,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
867,CD14+ Monocytes,Dendritic Cells,CD16 Mono
868,CD8 Naive,CD8+ Naive T,CD8 Naive
869,CD14+ Monocytes,Dendritic Cells,CD16 Mono
870,CD4 Memory,CD4+ Central Memory T,CD4 TCM
871,CD4 Naive,CD4+ Naive T,CD4 Naive
872,CD4 Naive,NK cell,NK
873,CD16+ Monocytes,Dendritic Cells,CD16 Mono
874,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
875,CD4 Memory,CD4+ Naive T,CD4 Naive
876,B cell progenitor,Dendritic Cells,B intermediate
877,,CD4+ Naive T,CD4 Naive
878,CD4 Naive,CD4+ Naive T,CD4 Naive
879,pDC,pDC,pDC
880,CD4 Memory,CD4+ Central Memory T,CD4 TCM
881,CD4 Memory,CD4+ Central Memory T,CD4 TCM
882,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
883,CD4 Naive,CD4+ Naive T,CD4 Naive
884,CD4 Memory,CD4+ Naive T,CD4 Naive
885,CD4 Memory,CD4+ Naive T,CD4 Naive
886,CD14+ Monocytes,Dendritic Cells,CD16 Mono
887,CD8 Naive,CD8+ Naive T,CD8 Naive
888,CD4 Naive,CD4+ Naive T,CD4 Naive
889,CD4 Memory,CD4+ Central Memory T,CD4 TCM
890,CD4 Memory,CD4+ Naive T,CD4 Naive
891,CD4 Naive,CD4+ Naive T,CD4 Naive
892,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
893,CD8 Naive,CD8+ Naive T,CD8 Naive
894,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
895,CD4 Naive,CD8+ Naive T,CD8 Naive
896,CD4 Memory,CD4+ Central Memory T,CD4 TCM
897,CD4 Memory,CD4+ Central Memory T,CD4 TCM
898,CD8 effector,CD8+ Effector Memory T,CD8 TEM
899,CD4 Naive,CD8+ Naive T,CD8 Naive
900,CD4 Memory,CD4+ Naive T,CD4 Naive
901,CD4 Memory,CD4+ Central Memory T,CD4 TCM
902,CD4 Naive,CD4+ Naive T,CD4 Naive
903,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
904,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
905,,CD14+ Monocytes,CD14 Mono
906,CD8 effector,CD8+ Effector Memory T,CD8 TEM
907,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
908,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
909,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
910,CD4 Naive,CD4+ Naive T,CD4 Naive
911,CD8 Naive,CD8+ Naive T,CD8 Naive
912,CD4 Memory,CD4+ Central Memory T,CD4 TCM
913,CD4 Naive,CD4+ Naive T,CD4 Naive
914,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
915,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
916,CD4 Naive,CD8+ Naive T,CD8 Naive
917,CD4 Memory,CD4+ Central Memory T,CD4 TCM
918,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
919,CD8 effector,CD8+ Effector Memory T,CD8 TEM
920,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
921,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
922,B cell progenitor,Dendritic Cells,B intermediate
923,CD4 Memory,CD4+ Central Memory T,CD4 TCM
924,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
925,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
926,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
927,CD8 Naive,CD8+ Naive T,CD8 Naive
928,CD16+ Monocytes,Dendritic Cells,CD16 Mono
929,CD4 Memory,CD4+ Naive T,CD4 Naive
930,CD4 Memory,CD4+ Central Memory T,CD4 TCM
931,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
932,CD16+ Monocytes,Dendritic Cells,CD16 Mono
933,CD16+ Monocytes,Dendritic Cells,CD16 Mono
934,CD4 Naive,CD4+ Naive T,CD4 Naive
935,CD4 Naive,CD4+ Naive T,CD4 Naive
936,CD4 Naive,CD4+ Naive T,CD4 Naive
937,Dendritic cell,Dendritic Cells,cDC2
938,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
939,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
940,CD8 Naive,CD8+ Naive T,CD8 Naive
941,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
942,CD4 Naive,NK cell,NK
943,B cell progenitor,Dendritic Cells,B intermediate
944,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
945,CD16+ Monocytes,Dendritic Cells,CD16 Mono
946,CD4 Naive,CD4+ Naive T,CD4 Naive
947,Dendritic cell,Dendritic Cells,cDC2
948,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
949,CD4 Memory,CD4+ Naive T,CD4 Naive
950,CD4 Naive,CD4+ Naive T,CD4 Naive
951,CD4 Naive,CD4+ Naive T,CD4 Naive
952,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
953,CD4 Naive,CD4+ Naive T,CD4 Naive
954,CD4 Naive,CD8+ Naive T,CD8 Naive
955,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
956,CD14+ Monocytes,Dendritic Cells,CD16 Mono
957,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
958,CD4 Naive,CD8+ Naive T,CD8 Naive
959,B cell progenitor,Dendritic Cells,B intermediate
960,CD8 Naive,CD8+ Naive T,CD8 Naive
961,CD8 Naive,CD8+ Naive T,CD8 Naive
962,CD16+ Monocytes,Dendritic Cells,CD16 Mono
963,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
964,CD4 Memory,CD4+ Naive T,CD4 Naive
965,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
966,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
967,CD4 Naive,CD4+ Naive T,CD4 Naive
968,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
969,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
970,CD8 Naive,CD8+ Naive T,CD8 Naive
971,pre-B cell,Dendritic Cells,B naive
972,CD8 effector,CD8+ Effector Memory T,CD8 TEM
973,NK cell,NK cell,NK
974,CD14+ Monocytes,CD14+ Monocytes,CD14 Mono
